罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所,被害者の性別,被害者の年齢,現金被害の有無
窃盗,ひったくり,旭,赤川交番,271179,大阪府,大阪市旭区,中宮４丁目,2021-02-16,20,道路上,女性,10歳代,なし
窃盗,ひったくり,旭,高殿交番,271179,大阪府,大阪市旭区,高殿５丁目,2021-02-16,21,道路上,女性,10歳代,あり
窃盗,ひったくり,八尾,山本交番,272124,大阪府,八尾市,福栄町１丁目,2021-06-21,19,道路上,男性,30歳代,あり
窃盗,ひったくり,曽根崎,天神橋五丁目交番,271276,大阪府,大阪市北区,天神橋５丁目,2020-12-31,19,道路上,女性,70歳以上,あり
窃盗,ひったくり,曽根崎,曽根崎二丁目交番,271276,大阪府,大阪市北区,曾根崎２丁目,2021-07-15,04,道路上,女性,50歳代,あり
窃盗,ひったくり,曽根崎,曽根崎二丁目交番,271276,大阪府,大阪市北区,兎我野町,2021-02-02,04,道路上,女性,20歳代,あり
窃盗,ひったくり,曽根崎,芝田交番,271276,大阪府,大阪市北区,中崎西２丁目,2021-08-16,05,道路上,男性,20歳代,あり
窃盗,ひったくり,曽根崎,阪急東通交番,271276,大阪府,大阪市北区,角田町,2021-05-26,04,道路上,男性,40歳代,なし
窃盗,ひったくり,天満,大江橋交番,271276,大阪府,大阪市北区,堂島１丁目,2021-03-07,02,道路上,男性,40歳代,あり
窃盗,ひったくり,天満,大江橋交番,271276,大阪府,大阪市北区,堂島１丁目,2021-04-27,00,道路上,男性,50歳代,なし
窃盗,ひったくり,天満,大江橋交番,271276,大阪府,大阪市北区,西天満３丁目,2021-06-06,12,道路上,男性,40歳代,あり
窃盗,ひったくり,天満,大江橋交番,271276,大阪府,大阪市北区,西天満４丁目,2021-06-02,09,道路上,男性,70歳以上,あり
窃盗,ひったくり,天満,大江橋交番,271276,大阪府,大阪市北区,西天満６丁目,2021-01-28,00,道路上,女性,30歳代,あり
窃盗,ひったくり,都島,京橋交番,271021,大阪府,大阪市都島区,東野田町３丁目,2021-05-15,11,道路上,男性,20歳代,なし
窃盗,ひったくり,都島,京橋交番,271021,大阪府,大阪市都島区,東野田町５丁目,2021-09-13,00,道路上,男性,50歳代,あり
窃盗,ひったくり,都島,都島本通交番,271021,大阪府,大阪市都島区,都島中通１丁目,2021-02-05,00,道路上,女性,50歳代,なし
窃盗,ひったくり,天王寺,上本町交番,271098,大阪府,大阪市天王寺区,東高津町,2021-09-12,02,道路上,男性,20歳代,あり
窃盗,ひったくり,天王寺,天王寺駅前交番,,,,,2021-12-04,10,その他,女性,20歳代,あり
窃盗,ひったくり,天王寺,生玉交番,271098,大阪府,大阪市天王寺区,上汐３丁目,2021-12-24,05,道路上,女性,20歳代,なし
窃盗,ひったくり,浪速,大国交番,271110,大阪府,大阪市浪速区,大国３丁目,2021-12-06,23,道路上,男性,30歳代,あり
窃盗,ひったくり,浪速,新世界交番,271110,大阪府,大阪市浪速区,恵美須東１丁目,2021-10-13,09,道路上,女性,65-69歳,なし
窃盗,ひったくり,浪速,日本橋東交番,271110,大阪府,大阪市浪速区,日本橋４丁目,2020-12-21,16,道路上,男性,20歳代,あり
窃盗,ひったくり,浪速,桜川交番,271110,大阪府,大阪市浪速区,桜川３丁目,2021-06-07,00,道路上,男性,40歳代,なし
窃盗,ひったくり,淀川,十三東交番,271233,大阪府,大阪市淀川区,木川西２丁目,2021-10-14,22,道路上,女性,20歳代,あり
窃盗,ひったくり,淀川,十三東交番,271233,大阪府,大阪市淀川区,木川東３丁目,2021-07-02,02,道路上,女性,10歳代,あり
窃盗,ひったくり,淀川,十三東交番,271233,大阪府,大阪市淀川区,木川東３丁目,2021-10-06,01,道路上,男性,30歳代,なし
窃盗,ひったくり,淀川,十三東交番,271233,大阪府,大阪市淀川区,十三東４丁目,2021-08-18,17,道路上,女性,10歳代,あり
窃盗,ひったくり,淀川,東三国交番,271233,大阪府,大阪市淀川区,十八条１丁目,2021-10-14,21,道路上,女性,60-64歳,なし
窃盗,ひったくり,淀川,西中島交番,271233,大阪府,大阪市淀川区,西中島１丁目,2021-09-22,05,道路上,女性,10歳代,あり
窃盗,ひったくり,東淀川,上新庄交番,271144,大阪府,大阪市東淀川区,下新庄５丁目,2021-09-19,00,その他,女性,30歳代,あり
窃盗,ひったくり,東淀川,大隅交番,271144,大阪府,大阪市東淀川区,瑞光３丁目,2021-03-11,22,道路上,女性,20歳代,なし
窃盗,ひったくり,東淀川,崇禅寺駅前交番,271144,大阪府,大阪市東淀川区,柴島３丁目,2021-10-18,22,道路上,女性,10歳代,なし
窃盗,ひったくり,東淀川,淡路交番,271144,大阪府,大阪市東淀川区,淡路３丁目,2021-11-29,20,道路上,女性,20歳代,あり
窃盗,ひったくり,東淀川,淡路駅前交番,271144,大阪府,大阪市東淀川区,菅原６丁目,2021-10-14,23,道路上,女性,20歳代,なし
窃盗,ひったくり,東淀川,菅原交番,271144,大阪府,大阪市東淀川区,下新庄２丁目,2021-11-07,20,道路上,女性,30歳代,あり
窃盗,ひったくり,東淀川,菅原交番,271144,大阪府,大阪市東淀川区,菅原６丁目,2021-10-14,23,道路上,女性,20歳代,なし
窃盗,ひったくり,生野,生野東交番,271161,大阪府,大阪市生野区,舎利寺３丁目,2021-07-30,09,道路上,女性,70歳以上,あり
窃盗,ひったくり,生野,生野西交番,271161,大阪府,大阪市生野区,生野西４丁目,2021-08-10,05,道路上,女性,70歳以上,あり
窃盗,ひったくり,生野,生野西交番,271161,大阪府,大阪市生野区,勝山南１丁目,2021-07-22,09,道路上,女性,70歳以上,あり
窃盗,ひったくり,阿倍野,阿倍野橋交番,271195,大阪府,大阪市阿倍野区,松崎町１丁目,2021-07-20,22,その他,女性,20歳代,あり
窃盗,ひったくり,阿倍野,高松交番,271195,大阪府,大阪市阿倍野区,天王寺町南１丁目,2021-08-01,05,道路上,女性,65-69歳,あり
窃盗,ひったくり,住吉,南住吉交番,271209,大阪府,大阪市住吉区,殿辻１丁目,2021-10-24,18,道路上,女性,70歳以上,あり
窃盗,ひったくり,住吉,我孫子交番,271209,大阪府,大阪市住吉区,我孫子４丁目,2021-10-23,22,道路上,女性,20歳代,なし
窃盗,ひったくり,住吉,我孫子交番,271209,大阪府,大阪市住吉区,我孫子東３丁目,2021-10-24,09,道路上,女性,50歳代,あり
窃盗,ひったくり,東住吉,東部市場前交番,271217,大阪府,大阪市東住吉区,桑津３丁目,2021-06-18,10,道路上,女性,70歳以上,あり
窃盗,ひったくり,西成,萩之茶屋交番,271225,大阪府,大阪市西成区,萩之茶屋３丁目,2021-11-09,12,その他,男性,65-69歳,なし
窃盗,ひったくり,西成,飛田交番,271225,大阪府,大阪市西成区,山王３丁目,2021-07-04,20,道路上,女性,70歳以上,あり
窃盗,ひったくり,西成,飛田交番,271225,大阪府,大阪市西成区,天下茶屋北１丁目,2021-01-12,04,道路上,男性,65-69歳,なし
窃盗,ひったくり,高槻,富田駅前交番,272078,大阪府,高槻市,西五百住町,2021-03-26,13,道路上,女性,70歳以上,あり
窃盗,ひったくり,高槻,磐手交番,272078,大阪府,高槻市,安満中の町,2021-01-31,15,道路上,女性,50歳代,あり
窃盗,ひったくり,茨木,総持寺交番,272116,大阪府,茨木市,総持寺台,2021-07-10,15,道路上,女性,70歳以上,あり
窃盗,ひったくり,茨木,鮎川交番,272116,大阪府,茨木市,橋の内２丁目,2021-03-27,22,道路上,男性,60-64歳,なし
窃盗,ひったくり,堺,阪和堺市駅前交番,271411,大阪府,堺市堺区,北田出井町２丁,2021-01-16,19,道路上,女性,70歳以上,なし
窃盗,ひったくり,堺,阪和堺市駅前交番,271411,大阪府,堺市堺区,田出井町,2021-12-10,21,道路上,女性,70歳以上,あり
窃盗,ひったくり,高石,東羽衣交番,272256,大阪府,高石市,東羽衣３丁目,2021-03-02,16,道路上,女性,70歳以上,あり
窃盗,ひったくり,高石,東羽衣交番,272256,大阪府,高石市,東羽衣５丁目,2021-03-14,15,道路上,女性,70歳以上,あり
窃盗,ひったくり,岸和田,土生交番,272027,大阪府,岸和田市,畑町１丁目,2021-12-16,20,道路上,女性,70歳以上,あり
窃盗,ひったくり,岸和田,土生交番,272027,大阪府,岸和田市,畑町３丁目,2021-10-26,19,道路上,女性,70歳以上,あり
窃盗,ひったくり,泉佐野,田尻町交番,273627,大阪府,田尻町,嘉祥寺,2021-05-29,16,道路上,男性,40歳代,なし
窃盗,ひったくり,泉佐野,田尻町交番,273627,大阪府,田尻町,りんくうポート北,2021-05-29,16,道路上,男性,60-64歳,なし
窃盗,ひったくり,枚岡,六万寺交番,272272,大阪府,東大阪市,新池島町２丁目,2021-06-21,19,道路上,男性,50歳代,あり
窃盗,ひったくり,枚岡,六万寺交番,272272,大阪府,東大阪市,新池島町４丁目,2021-06-24,00,道路上,女性,20歳代,あり
窃盗,ひったくり,枚岡,河内町交番,272272,大阪府,東大阪市,昭和町,2021-05-29,21,道路上,女性,60-64歳,あり
窃盗,ひったくり,枚岡,瓢箪山駅前交番,272272,大阪府,東大阪市,南四条町,2021-06-21,00,道路上,女性,20歳代,あり
窃盗,ひったくり,河内,松原交番,272272,大阪府,東大阪市,中石切町５丁目,2021-06-16,19,道路上,男性,30歳代,あり
窃盗,ひったくり,布施,上小阪交番,272272,大阪府,東大阪市,友井３丁目,2021-03-08,19,道路上,女性,40歳代,あり
窃盗,ひったくり,布施,布施駅前交番,272272,大阪府,東大阪市,足代３丁目,2021-01-11,02,道路上,女性,40歳代,あり
窃盗,ひったくり,布施,永和交番,272272,大阪府,東大阪市,菱屋西４丁目,2021-10-20,09,道路上,女性,60-64歳,あり
窃盗,ひったくり,布施,長瀬駅前交番,272272,大阪府,東大阪市,近江堂１丁目,2021-04-15,14,道路上,女性,70歳以上,なし
窃盗,ひったくり,布施,長瀬駅前交番,272272,大阪府,東大阪市,横沼町３丁目,2021-10-11,11,道路上,女性,70歳以上,あり
窃盗,ひったくり,枚方,枚方公園前交番,272108,大阪府,枚方市,山之上西町,2021-10-19,00,道路上,女性,20歳代,あり
窃盗,ひったくり,寝屋川,高柳交番,272159,大阪府,寝屋川市,池田３丁目,2021-03-27,23,道路上,女性,10歳代,あり
窃盗,ひったくり,四條畷,住道交番,272183,大阪府,大東市,赤井１丁目,2021-06-20,19,道路上,男性,70歳以上,あり
窃盗,ひったくり,守口,守口駅前交番,272094,大阪府,守口市,寺内町２丁目,2021-11-06,09,道路上,女性,70歳以上,あり
窃盗,ひったくり,門真,二島交番,272230,大阪府,門真市,三ツ島１丁目,2021-06-20,20,道路上,男性,40歳代,あり
窃盗,ひったくり,北堺,中百舌鳥交番,271462,大阪府,堺市北区,百舌鳥梅北町４丁,2021-08-13,13,道路上,女性,20歳代,あり
窃盗,ひったくり,北堺,新金岡交番,271462,大阪府,堺市北区,新金岡町５丁,2021-02-01,21,道路上,男性,30歳代,あり
窃盗,ひったくり,北堺,東浅香山町交番,271462,大阪府,堺市北区,北花田町３丁,2021-12-11,20,道路上,女性,50歳代,あり
窃盗,ひったくり,北堺,浅香山交番,271462,大阪府,堺市北区,東浅香山町２丁,2021-12-23,19,道路上,女性,60-64歳,あり
